Index,All Students,Minority,Economically Disadvantaged,Female,Male,Bil/ESL,Gifted,Special Ed,Title1,At Risk,Immigrant,Migrant,Dyslexic,Homeless,Foster Care,District,Year
41,7,0.950396825,0.932795699,0.536111111,0.463888889,0.050420168,0.240896359,0.066666667,0.9375,0.536516854,0.066489362,0.0625,0,0,0,15905,13
42,54.3,0.76142132,0.25,0.653333333,0.346666667,0.2,0.280898876,0.2,0.2,0.268817204,0.25,0.2,0,0,0,15906,13
43,9.7,0.966666667,0.812179017,0.574033552,0.425966448,0.036363636,0.237710932,0.017857143,0.982142857,0.437956204,0.018181818,0.017857143,0,0,0,15907,13
44,16.5,0.913194444,0.727272727,0.615384615,0.384615385,0.149700599,0.244755245,0.142857143,0.857142857,0.326797386,0.152439024,0.142857143,0,0,0,15908,13
45,4,0.9,0.576271186,0.6,0.4,0.2,0.2,0.2,0.8,0.25,0.2,0.2,0,0,0,15909,13
46,50.6,0.584755739,0.224343675,0.542534206,0.457465794,0.007431629,0.204653938,0.00924821,0.003281623,0.099131476,0.007476077,0.007405213,0,0,0,15910,13
47,21.8,0.799043062,0.478125,0.595015576,0.404984424,0.072674419,0.25625,0.071428571,0.073313783,0.166144201,0.072886297,0.072886297,0,0,0,15911,13
48,20.4,0.930362117,0.763948498,0.579399142,0.420600858,0.098425197,0.253218884,0.09765625,0.909090909,0.23580786,0.099206349,0.090909091,0,0,0,15912,13
49,40,0.877192982,0.416666667,0.578947368,0.421052632,0.333333333,0.409836066,0.333333333,0.333333333,0.403225806,0.333333333,0.333333333,0,0,0,15913,13
50,29.4,0.759776536,0.245098039,0.494117647,0.505882353,0.2,0.247524752,0.2,0.2,0.257731959,0.2,0.2,0,0,0,15914,13
51,39.4,0.742468856,0.328917314,0.562471604,0.437528396,0.004111466,0.294426679,0.011649155,0.183188671,0.248564209,0.005728689,0.005679237,0,0,0,15915,13
52,38.5,0.8,0.457983193,0.566666667,0.433333333,0.090909091,0.3,0.090909091,0.090909091,0.454545455,0.090909091,0.090909091,0,0,0,15916,13
53,27.8,0.953051643,0.611111111,0.533333333,0.466666667,0.225225225,0.311111111,0.2,0.8,0.166666667,0.221238938,0.2,0,0,0,15917,13
54,50,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,16901,13
55,56.9,0.872093023,0.531914894,0.482758621,0.517241379,0.333333333,0.555555556,0.333333333,0.333333333,0.490196078,0.333333333,0.471698113,0,0,0,16902,13
56,66.7,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,17901,13
57,100,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,18902,13
58,53.9,0.55859375,0.28,0.6,0.4,0.125628141,0.28,0.125,0.111111111,0.138121547,0.111111111,0.111111111,0,0,0,19907,13
59,42.5,0.769230769,0.3125,0.473684211,0.526315789,0.25,0.456140351,0.25,0.25,0.324675325,0.25,0.25,0,0,0,19912,13
60,49.8,0.687747036,0.238202247,0.58836689,0.41163311,0.053304904,0.330337079,0.053533191,0.054112554,0.154545455,0.05399568,0.052631579,0,0,0,20901,13
61,36.3,0.669387755,0.24025974,0.571428571,0.428571429,0.140449438,0.175324675,0.125,0.125,0.214285714,0.140449438,0.125,0,0,0,20902,13
62,9.1,0.857142857,0.333333333,0.5,0.5,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0,0,0,20904,13
63,68.8,0.577854671,0.188172043,0.543010753,0.456989247,0.111111111,0.327956989,0.111111111,0.111111111,0.125,0.119617225,0.111111111,0,0,0,20905,13
64,33.3,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,20906,13
